log10_x,L_100,L_1000,dc,zero_line
9.38,1.013926,1.224420,-0.670000,0.0
9.40,4.363774,3.279386,-0.670000,0.0
9.42,-3.861994,-10.584520,-0.670000,0.0
9.44,5.433429,5.184922,-0.670000,0.0
9.46,-3.999858,-8.441653,-0.670000,0.0
9.48,5.729159,-5.248140,-0.670000,0.0
9.50,-1.369420,-0.955412,-0.670000,0.0
9.52,2.869935,7.507308,-0.670000,0.0
9.54,0.374951,-10.892382,-0.670000,0.0
9.56,0.386643,1.356033,-0.670000,0.0
9.58,-4.799070,-6.968520,-0.670000,0.0
9.60,-3.401767,-8.413677,-0.670000,0.0
9.62,-0.174697,6.039148,-0.670000,0.0
9.64,-4.717650,-21.714986,-0.670000,0.0
9.66,-1.280718,-16.708929,-0.670000,0.0
9.68,-3.861503,4.273436,-0.670000,0.0
9.70,-1.048329,4.682242,-0.670000,0.0
9.72,-1.085789,1.903467,-0.670000,0.0
9.74,1.898772,0.563741,-0.670000,0.0
9.76,-4.241046,-15.552779,-0.670000,0.0
9.78,0.176905,1.263759,-0.670000,0.0
9.80,-5.155328,-7.724759,-0.670000,0.0
9.82,-4.643526,-15.428896,-0.670000,0.0
9.84,1.426514,-12.947674,-0.670000,0.0
9.86,2.629010,13.823740,-0.670000,0.0
9.88,-0.217776,-1.569900,-0.670000,0.0
9.90,3.372245,5.878200,-0.670000,0.0
9.92,-8.648818,-3.440292,-0.670000,0.0
9.94,0.629049,-3.073565,-0.670000,0.0
9.96,0.509688,-9.377657,-0.670000,0.0
9.98,5.360268,9.922516,-0.670000,0.0
10.00,-5.969207,-3.302500,-0.670000,0.0
10.02,1.857866,-0.598145,-0.670000,0.0
10.04,1.016448,9.000821,-0.670000,0.0
10.06,8.715407,16.532580,-0.670000,0.0
10.08,5.585851,13.981713,-0.670000,0.0
10.10,-6.554431,-6.395133,-0.670000,0.0
10.12,2.285871,-1.425267,-0.670000,0.0
10.14,-4.840415,-15.479686,-0.670000,0.0
10.16,-0.530492,5.523353,-0.670000,0.0
10.18,-3.589689,-6.775182,-0.670000,0.0
10.20,-2.259935,-6.128759,-0.670000,0.0
10.22,2.205807,1.223227,-0.670000,0.0
10.24,-1.199615,-0.271636,-0.670000,0.0
10.26,0.692801,0.685967,-0.670000,0.0
10.28,6.315443,4.970690,-0.670000,0.0
10.30,0.391081,-12.207974,-0.670000,0.0
10.32,-0.737397,1.071108,-0.670000,0.0
10.34,-3.847317,-18.582124,-0.670000,0.0
10.36,-5.590576,2.340900,-0.670000,0.0
10.38,-2.800669,1.937153,-0.670000,0.0
10.40,-4.009787,4.323738,-0.670000,0.0
10.42,2.019145,-3.713026,-0.670000,0.0
10.44,-4.626821,-2.163479,-0.670000,0.0
10.46,-3.521416,3.893216,-0.670000,0.0
10.48,2.197810,-4.161573,-0.670000,0.0
10.50,1.875109,6.277508,-0.670000,0.0
10.52,-6.607108,-4.349523,-0.670000,0.0
10.54,-0.658916,-1.068783,-0.670000,0.0
10.56,-5.544491,-18.252964,-0.670000,0.0
10.58,-4.640137,-14.204781,-0.670000,0.0
10.60,2.182131,-10.822006,-0.670000,0.0
10.62,4.741239,19.671012,-0.670000,0.0
10.64,3.639419,9.587635,-0.670000,0.0
10.66,-2.526477,-3.465441,-0.670000,0.0
10.68,-1.745475,3.825007,-0.670000,0.0
10.70,6.186397,10.722799,-0.670000,0.0
10.72,3.387689,11.519652,-0.670000,0.0
10.74,-3.126971,-9.510925,-0.670000,0.0
10.76,-3.693853,3.734472,-0.670000,0.0
10.78,-4.136617,-7.034563,-0.670000,0.0
10.80,0.597003,-16.160949,-0.670000,0.0
10.82,-0.665954,13.734980,-0.670000,0.0
10.84,-5.718101,-4.774198,-0.670000,0.0
10.86,2.945572,0.870582,-0.670000,0.0
10.88,1.037054,9.400718,-0.670000,0.0
10.90,-4.315722,-5.623274,-0.670000,0.0
10.92,0.830757,16.079041,-0.670000,0.0
10.94,1.558218,2.247596,-0.670000,0.0
10.96,0.140353,8.123975,-0.670000,0.0
10.98,-2.221425,5.490138,-0.670000,0.0
11.00,3.357453,-4.079379,-0.670000,0.0
11.02,-6.175595,-4.824141,-0.670000,0.0
11.04,6.604243,-4.010470,-0.670000,0.0
11.06,-4.185290,-22.741802,-0.670000,0.0
11.08,7.322005,-6.833443,-0.670000,0.0
11.10,-2.746303,0.504496,-0.670000,0.0
11.12,-2.384166,-1.544599,-0.670000,0.0
11.14,1.229808,17.402620,-0.670000,0.0
11.16,1.179737,6.382423,-0.670000,0.0
11.18,-1.980557,-7.030563,-0.670000,0.0
11.20,0.547173,11.547532,-0.670000,0.0
11.22,2.317455,5.541060,-0.670000,0.0
11.24,-0.817457,-3.461264,-0.670000,0.0
11.26,-1.895199,3.913781,-0.670000,0.0
11.28,4.410137,4.395880,-0.670000,0.0
11.30,-8.163617,-18.076511,-0.670000,0.0
11.32,-3.858852,2.319140,-0.670000,0.0
11.34,-0.874220,9.465718,-0.670000,0.0
11.36,-4.890408,-17.388876,-0.670000,0.0
11.38,-8.775620,-16.057331,-0.670000,0.0
11.40,6.802565,-15.436684,-0.670000,0.0
11.42,-8.418087,-3.974496,-0.670000,0.0
