log10_x,M_100,M_1000,M_10000,threshold_pos,threshold_neg
140.0,0.034181,0.041900,0.045130,1.0,-1.0
140.1,-0.048883,-0.047362,-0.046266,1.0,-1.0
140.2,0.124091,0.108077,0.107250,1.0,-1.0
140.3,-0.035382,-0.042069,-0.040496,1.0,-1.0
140.4,0.088208,0.085632,0.096837,1.0,-1.0
140.5,-0.116841,-0.116338,-0.116691,1.0,-1.0
140.6,0.049380,0.014697,0.023490,1.0,-1.0
140.7,-0.035128,-0.039309,-0.039619,1.0,-1.0
140.8,0.029049,0.043093,0.042572,1.0,-1.0
140.9,-0.044223,-0.057827,-0.059954,1.0,-1.0
141.0,0.064336,0.070554,0.069317,1.0,-1.0
141.1,-0.004231,-0.013867,-0.006644,1.0,-1.0
141.2,0.042346,0.047997,0.043868,1.0,-1.0
141.3,-0.022874,-0.000490,0.001830,1.0,-1.0
141.4,0.025230,0.017289,0.018719,1.0,-1.0
141.5,0.019158,0.015521,0.011902,1.0,-1.0
141.6,-0.029639,-0.015667,-0.025115,1.0,-1.0
141.7,-0.070700,-0.041846,-0.031693,1.0,-1.0
141.8,-0.027672,-0.024220,-0.029284,1.0,-1.0
141.9,0.052355,0.068402,0.069528,1.0,-1.0
142.0,-0.005703,0.000844,-0.007236,1.0,-1.0
142.1,0.001663,-0.010359,-0.014937,1.0,-1.0
142.2,-0.024663,-0.017347,-0.015237,1.0,-1.0
142.3,0.044361,0.025942,0.022185,1.0,-1.0
142.4,-0.036041,-0.006230,0.006654,1.0,-1.0
142.5,-0.025777,-0.054852,-0.048162,1.0,-1.0
142.6,-0.002790,-0.025461,-0.029915,1.0,-1.0
142.7,0.082995,0.062399,0.069763,1.0,-1.0
142.8,0.011649,-0.013585,-0.017836,1.0,-1.0
142.9,-0.085877,-0.084693,-0.076963,1.0,-1.0
143.0,-0.101763,-0.113820,-0.113001,1.0,-1.0
143.1,0.090842,0.089229,0.083141,1.0,-1.0
143.2,-0.002856,-0.002622,0.002149,1.0,-1.0
143.3,-0.013708,-0.002612,-0.001089,1.0,-1.0
143.4,-0.096545,-0.092199,-0.097279,1.0,-1.0
143.5,0.064776,0.076872,0.085438,1.0,-1.0
143.6,0.110075,0.094947,0.098812,1.0,-1.0
143.7,0.066001,0.064353,0.056063,1.0,-1.0
143.8,-0.012400,-0.010651,-0.020379,1.0,-1.0
