############################################################
#  LEMMA 9.5 VERIFICATION                                  #
#                                                          #
#  Verify: R_K = |T_K| / (E · Ω^{1/2} · K^{γ-1})       #
#  is bounded at all K, all t, all (A, ν).                #
#  γ = 1.5 (from lemma proof)                            #
#                                                          #
#  If max R_K < ∞: Lemma holds with C = max R_K.         #
############################################################

  ν     Amp    Step    Time     Energy      Enstrophy   R_k=1     R_k=2     R_k=3     R_k=4     R_k=5     R_k=6     R_k=7     R_k=8     maxR    BOUNDED?
  0.005  0.3    4000     0.4000   12.982036  478.095650     0.0017    0.0002    0.0020    0.0008    0.0026    0.0010    0.0016    0.0000   0.0026  YES
  0.005  0.3    4200     0.4200   12.888715  477.614772     0.0015    0.0003    0.0021    0.0008    0.0019    0.0012    0.0011    0.0001   0.0021  YES
  0.005  0.3    4400     0.4400   12.795496  476.508138     0.0014    0.0004    0.0020    0.0007    0.0012    0.0014    0.0007    0.0003   0.0020  YES
  0.005  0.3    4600     0.4600   12.702512  474.709035     0.0013    0.0003    0.0017    0.0002    0.0010    0.0015    0.0008    0.0003   0.0017  YES
  0.005  0.3    4800     0.4800   12.609889  472.328469     0.0013    0.0002    0.0012    0.0004    0.0011    0.0011    0.0014    0.0003   0.0014  YES
  0.005  0.3    5000     0.5000   12.517728  469.542684     0.0013    0.0000    0.0007    0.0010    0.0012    0.0004    0.0022    0.0001   0.0022  YES
  → Case max R = 0.021181

  0.050  0.1    200      0.0200    1.551756   48.090041     0.0002    0.0009    0.0022    0.0026    0.0042    0.0044    0.0052    0.0000   0.0052  YES
  0.050  0.1    400      0.0400    1.459352   44.420852     0.0008    0.0035    0.0077    0.0084    0.0121    0.0113    0.0107    0.0000   0.0121  YES
  0.050  0.1    600      0.0600    1.373901   41.124204     0.0014    0.0060    0.0129    0.0136    0.0184    0.0164    0.0144    0.0000   0.0184  YES
  0.050  0.1    800      0.0800    1.294710   38.147954     0.0020    0.0085    0.0177    0.0178    0.0227    0.0191    0.0163    0.0001   0.0227  YES
  0.050  0.1    1000     0.1000    1.221187   35.446956     0.0026    0.0107    0.0218    0.0207    0.0247    0.0197    0.0166    0.0001   0.0247  YES
  0.050  0.1    1200     0.1200    1.152819   32.983297     0.0032    0.0127    0.0250    0.0223    0.0249    0.0188    0.0158    0.0001   0.0250  YES
